,三民國中,三民國小,仙草實小,坪林實中,老梅實小
有效樣本數 (N),9.0,8.0,19.0,16.0,17.0
給每一個學生機會和期待,3.4,3.5,4.0,3.375,3.5
維護公平合理的學習狀態,3.2,3.25,3.736842105263158,3.0625,3.3846153846153846
校準課程體驗和學習目標,3.5,3.5,3.6315789473684212,3.25,3.357142857142857
掌握課程節奏,3.4,3.5,3.6315789473684212,3.3125,3.230769230769231
善用提問的力量,2.6666666666666665,3.25,3.6666666666666665,3.5,3.0714285714285716
引導討論和對話,3.142857142857143,3.125,3.7777777777777777,3.5,3.1
提供嚴謹的學習任務,2.5714285714285716,2.75,3.388888888888889,3.125,3.25
收集學習數據,3.125,3.375,3.3684210526315788,3.0625,3.125
設計差異化的課堂,3.0,3.0,3.5,3.25,2.8181818181818183
建立融合的學習氛圍,3.111111111111111,3.6,3.7222222222222223,3.375,3.25
創造學習的樂趣,3.75,3.5,3.789473684210526,3.3333333333333335,3.3076923076923075
打造安心無畏的空間,2.75,3.2,3.526315789473684,3.1875,3.4
力求課程嚴謹,2.857142857142857,4.0,3.3157894736842106,3.25,3.375
進行差異化和個人化處遇,3.5,3.5,3.3333333333333335,3.25,3.1666666666666665
激發學生對學習的主動性和責任感,3.25,3.0,3.4444444444444446,3.25,3.272727272727273
拉伸學生的思考和聲音,2.75,3.0,3.5,3.25,3.125
做好數據驅動的教學決定,3.0,3.5,3.5,3.25,2.7142857142857144
給出有目的性的回饋,3.0,3.5,3.7222222222222223,3.5,3.090909090909091
拉高學生對內容的概念化理解,3.0,2.5,,3.25,3.375
