,一般教師,初任教師(1-3y),新進教師,熟手/資深教師,行政人員
有效樣本數 (N),54.0,3.0,6.0,4.0,2.0
給每一個學生機會和期待,3.693877551020408,3.3333333333333335,3.1666666666666665,3.5,
維護公平合理的學習狀態,3.44,3.3333333333333335,2.8333333333333335,3.5,
校準課程體驗和學習目標,3.4313725490196076,3.0,3.6666666666666665,4.0,
掌握課程節奏,3.42,3.0,3.5,4.0,
善用提問的力量,3.4210526315789473,3.0,2.8333333333333335,3.0,3.0
引導討論和對話,3.5294117647058822,3.0,3.0,3.3333333333333335,3.0
提供嚴謹的學習任務,3.25,2.6666666666666665,2.5,2.5,3.0
收集學習數據,3.2222222222222223,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.0
設計差異化的課堂,3.2285714285714286,2.6666666666666665,2.5,3.6666666666666665,3.0
建立融合的學習氛圍,3.4791666666666665,3.3333333333333335,2.6666666666666665,3.75,3.0
創造學習的樂趣,3.575,,,3.5,
打造安心無畏的空間,3.3617021276595747,3.0,2.6666666666666665,3.3333333333333335,2.5
力求課程嚴謹,3.3333333333333335,,2.3333333333333335,3.6666666666666665,3.0
進行差異化和個人化處遇,3.3055555555555554,,,3.3333333333333335,3.0
激發學生對學習的主動性和責任感,3.3714285714285714,3.0,,3.0,3.0
拉伸學生的思考和聲音,3.3125,,,3.0,3.0
做好數據驅動的教學決定,3.2903225806451615,,2.6666666666666665,3.3333333333333335,3.0
給出有目的性的回饋,3.4571428571428573,,,3.5,
拉高學生對內容的概念化理解,3.2857142857142856,,,2.6666666666666665,3.0
